Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1337;12.1337;12.1337;03-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1150;12.1150;12.1150;04-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1718;12.1718;12.1718;05-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1827;12.1827;12.1827;06-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1940;12.1940;12.1940;09-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2006;12.2006;12.2006;10-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1537;12.1537;12.1537;11-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1995;12.1995;12.1995;12-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2190;12.2190;12.2190;13-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2208;12.2208;12.2208;16-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2642;12.2642;12.2642;17-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2086;12.2086;12.2086;18-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.1950;12.1950;12.1950;19-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2039;12.2039;12.2039;20-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2147;12.2147;12.2147;23-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2653;12.2653;12.2653;26-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.3058;12.3058;12.3058;27-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.2964;12.2964;12.2964;30-Oct-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.3237;12.3237;12.3237;31-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.4643;10.4643;10.4643;03-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.4481;10.4481;10.4481;04-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.4971;10.4971;10.4971;05-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.5065;10.5065;10.5065;06-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.5162;10.5162;10.5162;09-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.5219;10.5219;10.5219;10-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.4815;10.4815;10.4815;11-Oct-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.5210;10.5210;10.5210;12-Oct-2006
